,Total_Matches,Total_Matches_Reg,Home_Matches_Reg,Total_Matches_AET,Home_Matches_AET,Total_Matches_Pens,Home_Matches_Pens,Home_Wins_Reg,Home_Ties_Reg,Away_Wins_Reg,Away_Ties_Reg,Home_Goals_Reg,Home_Goals_Conceded_Reg,Away_Goals_Reg,Away_Goals_Conceded_Reg,Home_Wins_AET,Home_Ties_AET,Away_Wins_AET,Away_Ties_AET,Home_Wins_Pens,Away_Wins_Pens,Reg_Win_%,Reg_Tie_%,AET_Win_%,AET_Tie_%,Pens_Win_%,Away_Reg_Win_%,Home_Reg_Win_%,Away_Reg_Tie_%,Home_Reg_Tie_%,Away_AET_Win_%,Home_AET_Win_%,Away_AET_Tie_%,Home_AET_Tie_%,Away_Pens_Win_%,Home_Pens_Win_%,Avg_Home_Goals_Reg,Avg_Home_Goals_Conceded_Reg,Avg_Away_Goals_Reg,Avg_Away_Goals_Conceded_Reg
Trabzonspor,6,6,3,0,0,0,0,0,3,1,1,2,2,1,3,0,0,0,0,0,0,0.16666666666666666,0.6666666666666666,,,,0.3333333333333333,0.0,0.3333333333333333,1.0,,,,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
Manchester City,40,37,18,3,2,0,0,8,7,8,2,33,27,30,27,0,0,1,0,0,0,0.43243243243243246,0.24324324324324326,0.3333333333333333,0.0,,0.42105263157894735,0.4444444444444444,0.10526315789473684,0.3888888888888889,1.0,0.0,0.0,0.0,,,1.8333333333333333,1.5,1.5789473684210527,1.4210526315789473
SSC Napoli,14,14,7,0,0,0,0,6,1,2,1,15,6,9,13,0,0,0,0,0,0,0.5714285714285714,0.14285714285714285,,,,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.14285714285714285,,,,,,,2.142857142857143,0.8571428571428571,1.2857142857142858,1.8571428571428572
RSC Anderlecht,18,18,9,0,0,0,0,2,0,0,6,7,22,9,14,0,0,0,0,0,0,0.1111111111111111,0.3333333333333333,,,,0.0,0.2222222222222222,0.6666666666666666,0.0,,,,,,,0.7777777777777778,2.4444444444444446,1.0,1.5555555555555556
Montpellier HSC,6,6,3,0,0,0,0,0,1,0,1,3,5,3,7,0,0,0,0,0,0,0.0,0.3333333333333333,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,,,,,,,1.0,1.6666666666666667,1.0,2.3333333333333335
Paris Saint-Germain,40,34,16,6,4,0,0,13,6,10,3,41,19,35,18,0,0,1,1,0,0,0.6764705882352942,0.2647058823529412,0.16666666666666666,0.16666666666666666,,0.5555555555555556,0.8125,0.16666666666666666,0.375,0.5,0.0,0.5,0.0,,,2.5625,1.1875,1.9444444444444444,1.0
Malaga CF,10,9,4,1,1,0,0,3,2,1,2,8,2,8,7,0,0,0,0,0,0,0.4444444444444444,0.4444444444444444,0.0,0.0,,0.2,0.75,0.4,0.5,,0.0,,0.0,,,2.0,0.5,1.6,1.4
Galatasaray,30,28,13,2,2,0,0,5,5,3,2,17,27,16,33,0,0,0,0,0,0,0.2857142857142857,0.25,0.0,0.0,,0.2,0.38461538461538464,0.13333333333333333,0.38461538461538464,,0.0,,0.0,,,1.3076923076923077,2.076923076923077,1.0666666666666667,2.2
Nordsjaelland,6,6,3,0,0,0,0,0,1,0,0,3,10,1,12,0,0,0,0,0,0,0.0,0.16666666666666666,,,,0.0,0.0,0.0,0.3333333333333333,,,,,,,1.0,3.3333333333333335,0.3333333333333333,4.0
Real Sociedad,6,6,3,0,0,0,0,0,1,0,0,0,3,1,7,0,0,0,0,0,0,0.0,0.16666666666666666,,,,0.0,0.0,0.0,0.3333333333333333,,,,,,,0.0,1.0,0.3333333333333333,2.3333333333333335
